"sector_id";"sector";"d2000";"d2001";"d2002";"d2003";"d2004";"d2005";"d2006";"d2007";"d2008";"d2009";"d2010";"d2011";"d2012";"d2013";"d2014";"d2015";"d2016";"d2017";"d2018";"d2019";"d2020";"d2021";"d2022";"d2023";"d2024";"d2025";"d2026";"d2027";"d2028";"d2029";"d2030";"d2031";"d2032";"d2033";"d2034";"d2035";"d2036";"d2037";"d2038";"d2039";"d2040";"d2041";"d2042";"d2043";"d2044";"d2045";"d2046";"d2047";"d2048";"d2049";"d2050"
1;"agriculture";0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435;0.036318435
2;"production";0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261;0.037397261
3;"wholesale";0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224;0.050939224
4;"retail";0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667;0.056689667
5;"gastronomy";0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458;0.084089458
6;"finance";0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964
7;"services fC";0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964
8;"other services";0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964;0.043937964
9;"others";0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038
10;"non movers";0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038;0.047957038
