"years";"p_div_year";"p_div_year_c"
0;0.000974;0.000974
1;0.006732;0.007706
2;0.01042;0.018126
3;0.014128;0.032255
4;0.017783;0.050038
5;0.023407;0.073445
6;0.024167;0.097611
7;0.024194;0.121805
8;0.023834;0.145639
9;0.02446;0.170099
10;0.019337;0.189437
11;0.016702;0.206138
12;0.015559;0.221697
13;0.014305;0.236002
14;0.014151;0.250153
15;0.013138;0.263291
16;0.013083;0.276373
17;0.011992;0.288365
18;0.01117;0.299535
19;0.010718;0.310253
20;0.010497;0.32075
21;0.010178;0.330928
22;0.010304;0.341232
23;0.009829;0.351061
24;0.009855;0.360917
25;0.00968;0.370596
26;0.009529;0.380125
27;0.009439;0.389564
28;0.009284;0.398849
29;0.008771;0.407619
30;0.008376;0.415996
31;0.006989;0.422984
32;0.005876;0.428861
33;0.003109;0.43197
34;0.001512;0.433481
35;0;0.433481
36;0;0.433481
37;0;0.433481
38;0;0.433481
39;0;0.433481
40;0;0.433481
41;0;0.433481
42;0;0.433481
43;0;0.433481
44;0;0.433481
45;0;0.433481
46;0;0.433481
47;0;0.433481
48;0;0.433481
49;0;0.433481
50;0;0.433481
